"id","birth_percentile","collection_date","age","whisker_length","birth_date","in_utero_growth_rate","post_utero_growth_rate"
"T17",0.21,2014-08-01,753,108,2012-07-09,0.19,0.11
"T3",0.2,2014-08-01,753,94.87,2012-07-09,0.16,0.1
"T5",0.21,2014-08-01,753,135.17,2012-07-09,0.24,0.14
